Cnty_ID,Year,Crash_Sev_ID,crash_count
Anderson,2017,Incapacitating Injury,32
Anderson,2017,Killed,9
Anderson,2017,Non-Incapacitating,124
Anderson,2017,Not Injured,538
Anderson,2017,Possible Injury,155
Anderson,2017,Unknown,11
Anderson,2018,Incapacitating Injury,22
Anderson,2018,Killed,13
Anderson,2018,Non-Incapacitating,104
Anderson,2018,Not Injured,500
Anderson,2018,Possible Injury,161
Anderson,2018,Unknown,18
Anderson,2019,Incapacitating Injury,26
Anderson,2019,Killed,8
Anderson,2019,Non-Incapacitating,91
Anderson,2019,Not Injured,505
Anderson,2019,Possible Injury,156
Anderson,2019,Unknown,20
Anderson,2020,Incapacitating Injury,25
Anderson,2020,Killed,7
Anderson,2020,Non-Incapacitating,89
Anderson,2020,Not Injured,435
Anderson,2020,Possible Injury,146
Anderson,2020,Unknown,14
Anderson,2021,Incapacitating Injury,45
Anderson,2021,Killed,14
Anderson,2021,Non-Incapacitating,107
Anderson,2021,Not Injured,473
Anderson,2021,Possible Injury,133
Anderson,2021,Unknown,12
Anderson,2022,Incapacitating Injury,46
Anderson,2022,Killed,15
Anderson,2022,Non-Incapacitating,105
Anderson,2022,Not Injured,483
Anderson,2022,Possible Injury,131
Anderson,2022,Unknown,16
Anderson,2023,Incapacitating Injury,36
Anderson,2023,Killed,13
Anderson,2023,Non-Incapacitating,97
Anderson,2023,Not Injured,457
Anderson,2023,Possible Injury,116
Anderson,2023,Unknown,16
Anderson,2024,Incapacitating Injury,33
Anderson,2024,Killed,12
Anderson,2024,Non-Incapacitating,116
Anderson,2024,Not Injured,485
Anderson,2024,Possible Injury,123
Anderson,2024,Unknown,15
Andrews,2017,Incapacitating Injury,22
Andrews,2017,Killed,10
Andrews,2017,Non-Incapacitating,31
Andrews,2017,Not Injured,157
Andrews,2017,Possible Injury,20
Andrews,2017,Unknown,2
Andrews,2018,Incapacitating Injury,16
Andrews,2018,Killed,9
Andrews,2018,Non-Incapacitating,39
Andrews,2018,Not Injured,279
Andrews,2018,Possible Injury,50
Andrews,2018,Unknown,5
Andrews,2019,Incapacitating Injury,19
Andrews,2019,Killed,11
Andrews,2019,Non-Incapacitating,51
Andrews,2019,Not Injured,253
Andrews,2019,Possible Injury,58
Andrews,2019,Unknown,9
Andrews,2020,Incapacitating Injury,10
Andrews,2020,Killed,3
Andrews,2020,Non-Incapacitating,34
Andrews,2020,Not Injured,242
Andrews,2020,Possible Injury,51
Andrews,2020,Unknown,6
Andrews,2021,Incapacitating Injury,14
Andrews,2021,Killed,9
Andrews,2021,Non-Incapacitating,25
Andrews,2021,Not Injured,243
Andrews,2021,Possible Injury,41
Andrews,2021,Unknown,9
Andrews,2022,Incapacitating Injury,10
Andrews,2022,Killed,10
Andrews,2022,Non-Incapacitating,52
Andrews,2022,Not Injured,291
Andrews,2022,Possible Injury,45
Andrews,2022,Unknown,10
Andrews,2023,Incapacitating Injury,15
Andrews,2023,Killed,3
Andrews,2023,Non-Incapacitating,45
Andrews,2023,Not Injured,326
Andrews,2023,Possible Injury,51
Andrews,2023,Unknown,8
Andrews,2024,Incapacitating Injury,8
Andrews,2024,Killed,7
Andrews,2024,Non-Incapacitating,33
Andrews,2024,Not Injured,277
Andrews,2024,Possible Injury,42
Andrews,2024,Unknown,7
Angelina,2017,Incapacitating Injury,51
Angelina,2017,Killed,15
Angelina,2017,Non-Incapacitating,248
Angelina,2017,Not Injured,1305
Angelina,2017,Possible Injury,253
Angelina,2017,Unknown,40
Angelina,2018,Incapacitating Injury,43
Angelina,2018,Killed,13
Angelina,2018,Non-Incapacitating,183
Angelina,2018,Not Injured,1301
Angelina,2018,Possible Injury,276
Angelina,2018,Unknown,49
Angelina,2019,Incapacitating Injury,44
Angelina,2019,Killed,14
Angelina,2019,Non-Incapacitating,162
Angelina,2019,Not Injured,1240
Angelina,2019,Possible Injury,273
Angelina,2019,Unknown,45
Angelina,2020,Incapacitating Injury,62
Angelina,2020,Killed,11
Angelina,2020,Non-Incapacitating,171
Angelina,2020,Not Injured,1235
Angelina,2020,Possible Injury,250
Angelina,2020,Unknown,61
Angelina,2021,Incapacitating Injury,65
Angelina,2021,Killed,17
Angelina,2021,Non-Incapacitating,226
Angelina,2021,Not Injured,1344
Angelina,2021,Possible Injury,245
Angelina,2021,Unknown,56
Angelina,2022,Incapacitating Injury,67
Angelina,2022,Killed,17
Angelina,2022,Non-Incapacitating,271
Angelina,2022,Not Injured,1190
Angelina,2022,Possible Injury,205
Angelina,2022,Unknown,41
Angelina,2023,Incapacitating Injury,64
Angelina,2023,Killed,19
Angelina,2023,Non-Incapacitating,270
Angelina,2023,Not Injured,1173
Angelina,2023,Possible Injury,230
Angelina,2023,Unknown,34
Angelina,2024,Incapacitating Injury,58
Angelina,2024,Killed,17
Angelina,2024,Non-Incapacitating,227
Angelina,2024,Not Injured,1246
Angelina,2024,Possible Injury,246
Angelina,2024,Unknown,40
Aransas,2017,Incapacitating Injury,11
Aransas,2017,Killed,4
Aransas,2017,Non-Incapacitating,46
Aransas,2017,Not Injured,196
Aransas,2017,Possible Injury,49
Aransas,2017,Unknown,15
Aransas,2018,Incapacitating Injury,10
Aransas,2018,Killed,5
Aransas,2018,Non-Incapacitating,43
Aransas,2018,Not Injured,183
Aransas,2018,Possible Injury,55
Aransas,2018,Unknown,8
Aransas,2019,Incapacitating Injury,11
Aransas,2019,Killed,5
Aransas,2019,Non-Incapacitating,45
Aransas,2019,Not Injured,199
Aransas,2019,Possible Injury,62
Aransas,2019,Unknown,21
Aransas,2020,Incapacitating Injury,15
Aransas,2020,Killed,1
Aransas,2020,Non-Incapacitating,64
Aransas,2020,Not Injured,177
Aransas,2020,Possible Injury,41
Aransas,2020,Unknown,10
Aransas,2021,Incapacitating Injury,16
Aransas,2021,Killed,5
Aransas,2021,Non-Incapacitating,62
Aransas,2021,Not Injured,218
Aransas,2021,Possible Injury,52
Aransas,2021,Unknown,8
Aransas,2022,Incapacitating Injury,17
Aransas,2022,Killed,7
Aransas,2022,Non-Incapacitating,50
Aransas,2022,Not Injured,195
Aransas,2022,Possible Injury,36
Aransas,2022,Unknown,9
Aransas,2023,Incapacitating Injury,13
Aransas,2023,Killed,7
Aransas,2023,Non-Incapacitating,66
Aransas,2023,Not Injured,188
Aransas,2023,Possible Injury,47
Aransas,2023,Unknown,11
Aransas,2024,Incapacitating Injury,16
Aransas,2024,Killed,5
Aransas,2024,Non-Incapacitating,54
Aransas,2024,Not Injured,222
Aransas,2024,Possible Injury,43
Aransas,2024,Unknown,12
Archer,2017,Incapacitating Injury,3
Archer,2017,Killed,1
Archer,2017,Non-Incapacitating,20
Archer,2017,Not Injured,108
Archer,2017,Possible Injury,17
Archer,2017,Unknown,1
Archer,2018,Incapacitating Injury,13
Archer,2018,Killed,1
Archer,2018,Non-Incapacitating,31
Archer,2018,Not Injured,102
Archer,2018,Possible Injury,13
Archer,2018,Unknown,3
Archer,2019,Incapacitating Injury,6
Archer,2019,Killed,5
Archer,2019,Non-Incapacitating,16
Archer,2019,Not Injured,93
Archer,2019,Possible Injury,22
Archer,2019,Unknown,4
Archer,2020,Incapacitating Injury,4
Archer,2020,Killed,4
Archer,2020,Non-Incapacitating,22
Archer,2020,Not Injured,103
Archer,2020,Possible Injury,18
Archer,2020,Unknown,3
Archer,2021,Incapacitating Injury,11
Archer,2021,Killed,7
Archer,2021,Non-Incapacitating,28
Archer,2021,Not Injured,80
Archer,2021,Possible Injury,20
Archer,2021,Unknown,4
Archer,2022,Incapacitating Injury,13
Archer,2022,Killed,1
Archer,2022,Non-Incapacitating,14
Archer,2022,Not Injured,81
Archer,2022,Possible Injury,18
Archer,2022,Unknown,4
Archer,2023,Incapacitating Injury,7
Archer,2023,Killed,4
Archer,2023,Non-Incapacitating,18
Archer,2023,Not Injured,69
Archer,2023,Possible Injury,17
Archer,2023,Unknown,2
Archer,2024,Incapacitating Injury,9
Archer,2024,Non-Incapacitating,31
Archer,2024,Not Injured,84
Archer,2024,Possible Injury,8
Archer,2024,Unknown,4
Armstrong,2017,Incapacitating Injury,6
Armstrong,2017,Killed,1
Armstrong,2017,Non-Incapacitating,9
Armstrong,2017,Not Injured,39
Armstrong,2017,Possible Injury,3
Armstrong,2018,Incapacitating Injury,3
Armstrong,2018,Killed,1
Armstrong,2018,Non-Incapacitating,10
Armstrong,2018,Not Injured,34
Armstrong,2018,Possible Injury,5
Armstrong,2019,Incapacitating Injury,5
Armstrong,2019,Killed,2
Armstrong,2019,Non-Incapacitating,3
Armstrong,2019,Not Injured,23
Armstrong,2019,Possible Injury,6
Armstrong,2020,Incapacitating Injury,6
Armstrong,2020,Killed,1
Armstrong,2020,Non-Incapacitating,8
Armstrong,2020,Not Injured,39
Armstrong,2020,Possible Injury,7
Armstrong,2021,Incapacitating Injury,5
Armstrong,2021,Killed,3
Armstrong,2021,Non-Incapacitating,7
Armstrong,2021,Not Injured,20
Armstrong,2021,Possible Injury,6
Armstrong,2022,Incapacitating Injury,4
Armstrong,2022,Killed,5
Armstrong,2022,Non-Incapacitating,6
Armstrong,2022,Not Injured,29
Armstrong,2022,Possible Injury,3
Armstrong,2022,Unknown,2
Armstrong,2023,Incapacitating Injury,6
Armstrong,2023,Killed,3
Armstrong,2023,Non-Incapacitating,12
Armstrong,2023,Not Injured,28
Armstrong,2023,Possible Injury,2
Armstrong,2024,Incapacitating Injury,9
Armstrong,2024,Killed,2
Armstrong,2024,Non-Incapacitating,7
Armstrong,2024,Not Injured,24
Armstrong,2024,Possible Injury,2
Atascosa,2017,Incapacitating Injury,54
Atascosa,2017,Killed,8
Atascosa,2017,Non-Incapacitating,67
Atascosa,2017,Not Injured,650
Atascosa,2017,Possible Injury,77
Atascosa,2017,Unknown,17
Atascosa,2018,Incapacitating Injury,30
Atascosa,2018,Killed,10
Atascosa,2018,Non-Incapacitating,65
Atascosa,2018,Not Injured,794
Atascosa,2018,Possible Injury,102
Atascosa,2018,Unknown,27
Atascosa,2019,Incapacitating Injury,26
Atascosa,2019,Killed,7
Atascosa,2019,Non-Incapacitating,48
Atascosa,2019,Not Injured,898
Atascosa,2019,Possible Injury,122
Atascosa,2019,Unknown,28
Atascosa,2020,Incapacitating Injury,27
Atascosa,2020,Killed,9
Atascosa,2020,Non-Incapacitating,63
Atascosa,2020,Not Injured,751
Atascosa,2020,Possible Injury,68
Atascosa,2020,Unknown,31
Atascosa,2021,Incapacitating Injury,27
Atascosa,2021,Killed,8
Atascosa,2021,Non-Incapacitating,85
Atascosa,2021,Not Injured,854
Atascosa,2021,Possible Injury,70
Atascosa,2021,Unknown,28
Atascosa,2022,Incapacitating Injury,37
Atascosa,2022,Killed,12
Atascosa,2022,Non-Incapacitating,93
Atascosa,2022,Not Injured,869
Atascosa,2022,Possible Injury,67
Atascosa,2022,Unknown,30
Atascosa,2023,Incapacitating Injury,47
Atascosa,2023,Killed,14
Atascosa,2023,Non-Incapacitating,115
Atascosa,2023,Not Injured,907
Atascosa,2023,Possible Injury,82
Atascosa,2023,Unknown,25
Atascosa,2024,Incapacitating Injury,29
Atascosa,2024,Killed,10
Atascosa,2024,Non-Incapacitating,125
Atascosa,2024,Not Injured,850
Atascosa,2024,Possible Injury,85
Atascosa,2024,Unknown,19
Austin,2017,Incapacitating Injury,24
Austin,2017,Killed,3
Austin,2017,Non-Incapacitating,39
Austin,2017,Not Injured,470
Austin,2017,Possible Injury,77
Austin,2017,Unknown,12
Austin,2018,Incapacitating Injury,16
Austin,2018,Killed,4
Austin,2018,Non-Incapacitating,41
Austin,2018,Not Injured,443
Austin,2018,Possible Injury,64
Austin,2018,Unknown,10
Austin,2019,Incapacitating Injury,19
Austin,2019,Killed,6
Austin,2019,Non-Incapacitating,46
Austin,2019,Not Injured,454
Austin,2019,Possible Injury,85
Austin,2019,Unknown,9
Austin,2020,Incapacitating Injury,18
Austin,2020,Killed,9
Austin,2020,Non-Incapacitating,72
Austin,2020,Not Injured,463
Austin,2020,Possible Injury,74
Austin,2020,Unknown,16
Austin,2021,Incapacitating Injury,23
Austin,2021,Killed,5
Austin,2021,Non-Incapacitating,84
Austin,2021,Not Injured,527
Austin,2021,Possible Injury,84
Austin,2021,Unknown,12
Austin,2022,Incapacitating Injury,18
Austin,2022,Killed,8
Austin,2022,Non-Incapacitating,84
Austin,2022,Not Injured,407
Austin,2022,Possible Injury,56
Austin,2022,Unknown,12
Austin,2023,Incapacitating Injury,17
Austin,2023,Killed,5
Austin,2023,Non-Incapacitating,55
Austin,2023,Not Injured,281
Austin,2023,Possible Injury,69
Austin,2023,Unknown,9
Austin,2024,Incapacitating Injury,23
Austin,2024,Killed,9
Austin,2024,Non-Incapacitating,67
Austin,2024,Not Injured,347
Austin,2024,Possible Injury,61
Austin,2024,Unknown,17
Bailey,2017,Incapacitating Injury,7
Bailey,2017,Killed,1
Bailey,2017,Non-Incapacitating,11
Bailey,2017,Not Injured,90
Bailey,2017,Possible Injury,12
Bailey,2017,Unknown,3
Bailey,2018,Incapacitating Injury,6
Bailey,2018,Killed,1
Bailey,2018,Non-Incapacitating,17
Bailey,2018,Not Injured,110
Bailey,2018,Possible Injury,11
Bailey,2018,Unknown,2
Bailey,2019,Incapacitating Injury,2
Bailey,2019,Killed,4
